#Name	ID	GM	Radius(km)	inertia	k2	k2r	td	J2	C21	C22	S21	S22	TidalDelayFactor	Geopotential	Ring	x	y	z	vx	vy	vz	alpha	delta	w	period(h)	xx	xy	xz	zx	zy	zz	wx	wy	wz
Sun	10	1.327124400412795E20	696295	0.0687812	0.030293	0.027	0.1	2.188130057170598E-7	0	0	0	0	1	0	0	-1.067706806453718E9	-4.182752704451427E8	3.086181725430511E7	9.31257190034418E0	-1.282475571069859E1	-1.6335071235548E-1	286.13000000 	63.87000000 	84.17600000 	609.11987818 	-0.1506580346458434	0.9873471717036640	0.0494744290055773	0.1223534934723278	-0.0310378702450670	0.9920011457885360	3.505830935618226E-7	-8.89337301230966E-8	2.842410303438315E-6
Mercury	199	2.20318685514E13	2439.7	0.346	0.45	0.45	0	5.028453919995402E-5	6.847155751234344E-12	7.950172581837865E-6	-5.33124006897694E-11	3.474767250324669E-8	1	0	0	-2.052943316170495E10	-6.733155053413798E10	-3.648992526612219E9	3.700430442931695E4	-1.117724068091865E4	-4.307791469309104E3	281.01030000 	61.41550000 	329.59994880 	1407.71368573 	9.31494401965472E-1	-3.453773790362026E-1	-1.141606112329091E-1	9.13777371809367E-2	-8.16001148865736E-2	9.92467395131039E-1	1.133027083433662E-7	-1.011788083832662E-7	1.230596088140879E-6
Venus	299	3.24858592000E14	6051.8	0.337	0.26	0.26	0	4.40327093889655e-6	3.4592976069403474e-8	5.535481312117359e-7	1.7098318146460633e-8	-6.165202550872148e-8	1	0	0	-1.085242008586538E11	-5.303290246326016E9	6.166496116800224E9	1.391218601161992E3	-3.515311993215588E4	-5.602056890399402E2	272.76000000 	67.16000000 	160.20000000 	-5832.44361566 	-9.54821497429634E-1	2.968199568571261E-1	1.46226282714577E-2	-1.8690814168902E-2	-1.08725228614601E-2	-9.99766193523431E-1	-5.592858272543881E-9	-3.253472411918072E-9	-2.991756611061223E-7
Earth	399	3.986004355070227E14	6371	3.306557720310232E-1	3.264859020350989E-1	3.264859020350989E-1	5.91652381554256E2	1.085060817270971E-3	-5.136981278414599E-9	+1.578064972e-06	3.919525618191011E-9	-9.058938674e-07	1	1	0	-2.75667404840312E10	1.442790215220894E11	3.025066812395696E7	-2.978494749852483E4	-5.482119695540173E3	1.84328812296101E-2	0.00000000 	90.00000000 	190.19393778 	23.93447209 	1.769806057829121E-1	-9.03007950400573E-1	3.914773386673495E-1	-2.558044479853366E-5	3.977519624545877E-1	9.17492984010868E-1	-1.972296515523706E-9	2.900449627913013E-5	6.690465890886453E-5
Mars	499	4.282837249493424E13	3389.5	0.3644	0.183	0.183	32.0	1.964118538914803E-3	-7.166967666971795E-10	-5.483736807569426E-5	5.998872219855512E-10	3.17373414652698E-5	1	1	0	2.069804338359722E11	-2.425327897252231E9	-5.125427140884158E9	1.171984975394043E3	2.62832397897447E4	5.221336725070205E2	317.68085441 	52.88643928 	176.63205973 	24.62296200 	-7.067369480568598E-1	-6.341809890288607E-1	3.135878814712903E-1	4.461551964729892E-1	-5.551668412616653E-2	8.93232018259413E-1	3.162445443596189E-5	-3.935142312206538E-6	6.331423222970257E-5
Jupiter	599	1.266865319003704E17	69911	0.2756	0.58976	0.50	0.E0	1.536881670176015E-2	0	0	0	0	1	1	0	5.974999179613324E11	4.391864047925301E11	-1.519599989690655E10	-7.900547721929482E3	1.114339277880856E4	1.307023298008232E2	268.05720404 	64.49580995 	284.95000000 	9.92491982 	2.282653288615979E-1	-9.73088211310958E-1	-3.153208916881702E-2	-1.459679018066685E-2	-3.580400105163037E-2	9.99252224028108E-1	-2.566892765072083E-6	-6.29624943456459E-6	1.757217352455573E-4
Saturn	699	3.79312061328206E16	58232	0.2263	0.383	0.34	4.0	1.748561371310006E-2	0	0	0	0	1	1	1	9.57317652244524E11	9.82438007565473E11	-5.518211782260063E10	-7.421900355306931E3	6.72393097985765E3	1.775749497437627E2	40.58900000 	83.53700000 	38.90000000 	10.65622222 	-9.8018911683859E-1	1.97870766810328E-1	-8.74384772726948E-3	8.54772399922962E-2	4.624258243051494E-1	8.8252818564565E-1	1.399988891180883E-5	7.573840910178067E-5	1.445448701690593E-4
Uranus	799	5.793951256527211E15	25362	0.23	0.40	0.33	0.E0	3.56543788535402E-3	0	0	0	0	1	1	0	2.157907330558264E12	-2.055043523670012E12	-3.559460173379336E10	4.64658661723605E3	4.61477433235267E3	-4.308139225145202E1	257.31100000 	-15.17500000 	203.81000000 	-17.24000000 	-8.69331940707514E-1	1.239831521539192E-1	-4.784246595313459E-1	2.120201840369997E-1	9.67978625417384E-1	-1.344054399791469E-1	2.146432884176004E-5	9.79954414346127E-5	-1.360682981640281E-5
Neptune	899	6.835099968446816E15	24622	0.23	0.44	0.37	-2.106341180755043E-3	3.576466255389951E-3	0	0	0	0	1	1	0	2.513978764802281E12	-3.739132816768651E12	1.906307919302168E10	4.474587903220757E3	3.063155473012515E3	-1.664120011894811E2	299.33373896 	42.95035902 	249.99600757 	15.96630035 	1.562683748618159E-2	-9.39615486957511E-1	-3.418750336303911E-1	3.591209299861107E-1	-3.138277599305919E-1	8.78944989599951E-1	3.925670045403241E-5	-3.430555205390351E-5	9.6080395900865E-5
Pluto	999	8.699633756209835E11	1188.3	0.34	0.3	0.3	0	0.00022	3.217709528788114E-7	0.00002	-1.072342312454277E-7	-1.938202047504074E-10	1	0	0	-1.478398629559076E12	-4.182993142655855E12	8.75246342825142E11	5.269171035625297E3	-2.669239395858974E3	-1.250750681942903E3	132.99300000 	-6.16300000 	302.69500000 	153.29335198 	-3.47576614274483E-1	-7.399517383236168E-1	-5.759009655846618E-1	-6.781164127107236E-1	6.225518384458818E-1	-3.90624294252155E-1	-7.719857597479843E-6	7.099506732680995E-6	-4.430754323672868E-6
